accrual_id,accrual_date,accrual_period,vendor_name,bucket,amount,currency,reference_code,description
ACR-2026-00211,22/06/2026,2026-06,Walmart,Damaged Goods,360.98,GBP,SAP-BKT-0212,Damaged Goods - internal accrual entry
ACR-2026-00029,24/06/2026,2026-06,Amazon,Promotional Accrual,1740.45,GBP,SAP-BKT-0030,Promotional Accrual - internal accrual entry
ACR-2026-00199,13/06/2026,2026-06,Walmart,Damaged Goods,95.54,GBP,SAP-BKT-0200,Damaged Goods - internal accrual entry
ACR-2026-00245,03/06/2026,2026-06,Amazon,Chargeback/Other,627.08,GBP,SAP-BKT-0246,Chargeback/Other - internal accrual entry
ACR-2026-00183,22/06/2026,2026-06,Shopify Direct,Damaged Goods,397.8,GBP,SAP-BKT-0184,Damaged Goods - internal accrual entry
ACR-2026-00045,06/06/2026,2026-06,Target,Promotional Accrual,1499.49,GBP,SAP-BKT-0046,Promotional Accrual - internal accrual entry
ACR-2026-00007,03/06/2026,2026-06,Shopify Direct,Promotional Accrual,2094.33,GBP,SAP-BKT-0008,Promotional Accrual - internal accrual entry
ACR-2026-00299,29/06/2026,2026-06,Amazon,Chargeback/Other,951.44,GBP,SAP-BKT-0300,Chargeback/Other - internal accrual entry
ACR-2026-00265,29/06/2026,2026-06,Amazon,Chargeback/Other,360.29,GBP,SAP-BKT-0266,Chargeback/Other - internal accrual entry
ACR-2026-00173,06/06/2026,2026-06,Walmart,Price Dispute,140.83,GBP,SAP-BKT-0174,Price Dispute - internal accrual entry
ACR-2026-00001,01/06/2026,2026-06,Amazon,Promotional Accrual,2502.19,GBP,SAP-BKT-0002,Promotional Accrual - internal accrual entry
ACR-2026-00113,03/06/2026,2026-06,Shopify Direct,Shortage Claim,90.84,GBP,SAP-BKT-0114,Shortage Claim - internal accrual entry
ACR-2026-00263,29/06/2026,2026-06,Target,Chargeback/Other,915.43,GBP,SAP-BKT-0264,Chargeback/Other - internal accrual entry
ACR-2026-00203,20/06/2026,2026-06,Amazon,Damaged Goods,76.4,GBP,SAP-BKT-0204,Damaged Goods - internal accrual entry
ACR-2026-00187,19/06/2026,2026-06,Amazon,Damaged Goods,406.55,GBP,SAP-BKT-0188,Damaged Goods - internal accrual entry
ACR-2026-00277,24/06/2026,2026-06,Walmart,Chargeback/Other,907.13,GBP,SAP-BKT-0278,Chargeback/Other - internal accrual entry
ACR-2026-00243,17/06/2026,2026-06,Target,Chargeback/Other,486.43,GBP,SAP-BKT-0244,Chargeback/Other - internal accrual entry
ACR-2026-00281,09/06/2026,2026-06,Walmart,Chargeback/Other,168.63,GBP,SAP-BKT-0282,Chargeback/Other - internal accrual entry
ACR-2026-00295,13/06/2026,2026-06,Shopify Direct,Chargeback/Other,670.73,GBP,SAP-BKT-0296,Chargeback/Other - internal accrual entry
ACR-2026-00239,07/06/2026,2026-06,Shopify Direct,Damaged Goods,397.39,GBP,SAP-BKT-0240,Damaged Goods - internal accrual entry
ACR-2026-00223,12/06/2026,2026-06,Walmart,Damaged Goods,178.92,GBP,SAP-BKT-0224,Damaged Goods - internal accrual entry
ACR-2026-00217,04/06/2026,2026-06,Shopify Direct,Damaged Goods,72,GBP,SAP-BKT-0218,Damaged Goods - internal accrual entry
ACR-2026-00109,29/06/2026,2026-06,Target,Shortage Claim,414.72,GBP,SAP-BKT-0110,Shortage Claim - internal accrual entry
ACR-2026-00139,28/06/2026,2026-06,Amazon,Price Dispute,119.17,GBP,SAP-BKT-0140,Price Dispute - internal accrual entry
ACR-2026-00053,13/06/2026,2026-06,Costco,Promotional Accrual,1228.86,GBP,SAP-BKT-0054,Promotional Accrual - internal accrual entry
ACR-2026-00279,26/06/2026,2026-06,Costco,Chargeback/Other,661.46,GBP,SAP-BKT-0280,Chargeback/Other - internal accrual entry
ACR-2026-00021,11/06/2026,2026-06,Costco,Promotional Accrual,1250.25,GBP,SAP-BKT-0022,Promotional Accrual - internal accrual entry
ACR-2026-00009,01/06/2026,2026-06,Amazon,Promotional Accrual,752.98,GBP,SAP-BKT-0010,Promotional Accrual - internal accrual entry
ACR-2026-00033,10/06/2026,2026-06,Shopify Direct,Promotional Accrual,2739.39,GBP,SAP-BKT-0034,Promotional Accrual - internal accrual entry
ACR-2026-00267,22/06/2026,2026-06,Walmart,Chargeback/Other,114.2,GBP,SAP-BKT-0268,Chargeback/Other - internal accrual entry
ACR-2026-00039,22/06/2026,2026-06,Amazon,Promotional Accrual,1115.33,GBP,SAP-BKT-0040,Promotional Accrual - internal accrual entry
ACR-2026-00089,25/06/2026,2026-06,Target,Shortage Claim,290.75,GBP,SAP-BKT-0090,Shortage Claim - internal accrual entry
ACR-2026-00059,13/06/2026,2026-06,Target,Promotional Accrual,1222.9,GBP,SAP-BKT-0060,Promotional Accrual - internal accrual entry
ACR-2026-00179,09/06/2026,2026-06,Costco,Price Dispute,289.06,GBP,SAP-BKT-0180,Price Dispute - internal accrual entry
ACR-2026-00095,17/06/2026,2026-06,Target,Shortage Claim,334.31,GBP,SAP-BKT-0096,Shortage Claim - internal accrual entry
ACR-2026-00227,20/06/2026,2026-06,Target,Damaged Goods,531.85,GBP,SAP-BKT-0228,Damaged Goods - internal accrual entry
ACR-2026-00289,08/06/2026,2026-06,Walmart,Chargeback/Other,37.84,GBP,SAP-BKT-0290,Chargeback/Other - internal accrual entry
ACR-2026-00085,28/06/2026,2026-06,Shopify Direct,Shortage Claim,399.28,GBP,SAP-BKT-0086,Shortage Claim - internal accrual entry
ACR-2026-00257,18/06/2026,2026-06,Walmart,Chargeback/Other,49.77,GBP,SAP-BKT-0258,Chargeback/Other - internal accrual entry
ACR-2026-00215,01/06/2026,2026-06,Amazon,Damaged Goods,266.43,GBP,SAP-BKT-0216,Damaged Goods - internal accrual entry
ACR-2026-00231,10/06/2026,2026-06,Shopify Direct,Damaged Goods,505.54,GBP,SAP-BKT-0232,Damaged Goods - internal accrual entry
ACR-2026-00123,30/06/2026,2026-06,Walmart,Price Dispute,178.7,GBP,SAP-BKT-0124,Price Dispute - internal accrual entry
ACR-2026-00077,28/06/2026,2026-06,Amazon,Shortage Claim,99.47,GBP,SAP-BKT-0078,Shortage Claim - internal accrual entry
ACR-2026-00275,29/06/2026,2026-06,Walmart,Chargeback/Other,412.86,GBP,SAP-BKT-0276,Chargeback/Other - internal accrual entry
ACR-2026-00165,15/06/2026,2026-06,Amazon,Price Dispute,255.29,GBP,SAP-BKT-0166,Price Dispute - internal accrual entry
ACR-2026-00197,20/06/2026,2026-06,Amazon,Damaged Goods,69.32,GBP,SAP-BKT-0198,Damaged Goods - internal accrual entry
