deduction_id,transaction_date,vendor_name,amount,currency,reference_code,description,manual_bucket,manual_flag
DED-2026-00693,12/06/2026,Walmart Marketplace LLC,-241.35,GBP,DAMAGED-RMA-694,Inbound damage adjustment,Shortage Claim - ACR-2026-00075,
DED-2026-00541,23/06/2026,Walmart Marketplace LLC,-627.04,GBP,NOTE-542,Miscellaneous deduction - see note,Chargeback - ACR-2026-00241,
DED-2026-00723,14/06/2026,Amazon Services Europe,-627.09,GBP,OTHER-DEDUCT-724,Aggregated chargeback - see case file,Chargeback - ACR-2026-00245,
DED-2026-00665,16/06/2026,Walmart Marketplace LLC,-140.84,GBP,PRC-DISP-666,Cost price discrepancy claim,Price Dispute - ACR-2026-00173,
DED-2026-00755,20/06/2026,3rd Party Payment Processor,-72.04,GBP,NOTE-756,Miscellaneous deduction - refer to portal,Damaged Goods - ACR-2026-00217,
DED-2026-00605,27/06/2026,WALMART.COM,-1220.84,GBP,TRADE-PROMO-606,Trade promotion funding adjustment,Promotional Acrrual - ACR-2026-00047,
DED-2026-00783,07/06/2026,Payments Clearing House,-56.5,GBP,ADJ-784,Balance adjustment - no further detail,,Nothing clear
DED-2026-00391,09/06/2026,Amazon EU SARL,-216.52,GBP,NOTE-392,Deduction per remittance advice,Shortage Claim - ACR-2026-00091,
DED-2026-00347,22/06/2026,Walmart Marketplace LLC,-1220.83,GBP,NOTE-348,Miscellaneous deduction - see note,Promotional Accrual - ACR-2026-00047,
DED-2026-00409,28/06/2026,TARGET.COM,-414.73,GBP,ADJ-410,Miscellaneous deduction - see note,Shortage Claim - ACR-2026-00109,
DED-2026-00303,09/06/2026,WALMART.COM,-876.76,GBP,REF-304,Miscellaneous deduction - see note,,
DED-2026-00725,06/07/2026,WALMART.COM,-171.81,GBP,CHB-726,Aggregated chargeback - see case file,,
DED-2026-00301,31/05/2026,Amazon Services Europe,-2502.18,GBP,ADJ-302,Reimbursement adjustment - see portal,,
DED-2026-00513,11/06/2026,COSTCO.COM,-504.15,GBP,NOTE-514,Reimbursement adjustment - see portal,,
DED-2026-00327,21/06/2026,Target Plus Marketplace,-1214.21,GBP,ADJ-328,Account adjustment - refer to statement,,
DED-2026-00679,29/05/2026,COSTCO.COM,-271.42,GBP,PPD-680,Retroactive price adjustment - multiple POs,,
DED-2026-00349,21/06/2026,AMAZON.COM LLC,-2214.45,GBP,SETTLEMENT-350,Miscellaneous deduction - see note,,
DED-2026-00455,01/06/2026,Amazon EU Sarl - UK Branch,-139.75,GBP,REF-456,Miscellaneous deduction - see note,,
DED-2026-00789,21/06/2026,3rd Party Payment Processor,-325.75,GBP,REF-790,General ledger adjustment,,
DED-2026-00433,07/06/2026,Shopify Payments,-192.71,GBP,SETTLEMENT-434,Deduction per remittance advice,,
DED-2026-00691,02/06/2026,PARTNER-99231-REMIT,-77.9,GBP,DMG-CLAIM-692,Damaged inventory write-down claim,,
DED-2026-00573,28/06/2026,WALMART.COM,-171.81,GBP,DED-574,Deduction per remittance advice,,
DED-2026-00305,23/06/2026,Amazon EU SARL,-2499.79,GBP,SETTLEMENT-306,Adjustment applied at settlement,,
DED-2026-00453,21/06/2026,Amazon Services Europe,-211.22,GBP,DED-454,Miscellaneous deduction - see note,,
DED-2026-00537,06/06/2026,Shopify Payments,-172.54,GBP,REF-538,Miscellaneous deduction - see note,,
DED-2026-00703,18/06/2026,Shopify Direct Sales,-484.26,GBP,WHSE-DMG-704,Damaged inventory write-down claim,,
DED-2026-00669,22/06/2026,WALMART.COM,-204.81,GBP,PRC-DISP-670,Price protection dispute adjustment,,
DED-2026-00599,29/06/2026,AMAZON.COM LLC,-951.44,GBP,NOTE-600,Account adjustment - refer to statement,,
DED-2026-00741,09/06/2026,DEDUCTION PROCESSOR LTD,-388.03,GBP,CHB-742,Miscellaneous marketplace deduction,,
DED-2026-00729,17/06/2026,SHOPIFY INC,-859.09,GBP,OTHER-DEDUCT-730,Other adjustment - multiple references,,
DED-2026-00493,07/06/2026,SHOPIFY INC,-63.73,GBP,ADJ-494,Adjustment applied at settlement,,
DED-2026-00733,13/06/2026,Walmart Marketplace LLC,-610.28,GBP,CHB-734,Other adjustment - multiple references,,
DED-2026-00749,10/06/2026,PARTNER-99231-REMIT,-32.59,GBP,CHB-750,Miscellaneous marketplace deduction,,
DED-2026-00311,16/06/2026,Walmart Marketplace LLC,-2125.45,GBP,REF-312,Reimbursement adjustment - see portal,,
DED-2026-00337,08/06/2026,SHOPIFY INC,-2402.35,GBP,SETTLEMENT-338,Deduction per remittance advice,,
DED-2026-00417,25/06/2026,Shopify Payments,-105.27,GBP,ADJ-418,Account adjustment - refer to statement,,
DED-2026-00689,10/06/2026,Amazon Services Europe,-212.82,GBP,PPD-690,Cost price discrepancy claim,,
DED-2026-00633,14/06/2026,Costco Wholesale Corp,-155.35,GBP,QTY-SHORT-634,Inventory receipt shortfall claim,,
