deduction_id,transaction_date,vendor_name,amount,currency,reference_code,description
DED-2026-00523,2026-06-11,Walmart Marketplace LLC,-178.92,GBP,NOTE-524,Deduction per remittance advice
DED-2026-00613,2026-06-08,Walmart Marketplace LLC,-2536.58,GBP,TRADE-PROMO-614,Marketing rebate accrual drawdown
DED-2026-00361,2026-06-29,WALMART.COM,-399.46,GBP,REF-362,Adjustment applied at settlement
DED-2026-00601,2026-06-29,Walmart Marketplace LLC,-2196.64,GBP,TRADE-PROMO-602,Aggregated promo rebate - multiple campaigns
DED-2026-00723,2026-06-15,Amazon EU SARL,-435.72,GBP,MISC-ADJ-724,Other adjustment - multiple references
DED-2026-00635,2026-06-08,WALMART.COM,-219.99,GBP,SHORT-636,Units short on receipt - claim filed
DED-2026-00539,2026-06-07,SHOPIFY INC,-397.38,GBP,ADJ-540,Account adjustment - refer to statement
DED-2026-00345,2026-06-07,Target Plus Marketplace,-1499.48,GBP,NOTE-346,Account adjustment - refer to statement
DED-2026-00709,2026-06-07,Costco Marketplace,-243.93,GBP,DMG-CLAIM-710,Inbound damage adjustment
DED-2026-00603,2026-06-02,Target Plus Marketplace,-2629.02,GBP,MKTG-REBATE-604,Marketing rebate accrual drawdown
DED-2026-00339,2026-06-21,Amazon EU SARL,-1115.33,GBP,SETTLEMENT-340,Deduction per remittance advice
DED-2026-00445,2026-06-18,SHOPIFY INC,-159.72,GBP,NOTE-446,Adjustment applied at settlement
DED-2026-00565,2026-06-30,Amazon EU Sarl - UK Branch,-360.29,GBP,ADJ-566,Deduction per remittance advice
DED-2026-00629,2026-06-24,Costco Marketplace,-1502.1,GBP,TRADE-PROMO-630,Trade promotion funding adjustment
DED-2026-00525,2026-06-28,COSTCO.COM,-309.33,GBP,NOTE-526,Reimbursement adjustment - see portal
DED-2026-00527,2026-06-21,Target Corporation,-531.86,GBP,DED-528,Reimbursement adjustment - see portal
DED-2026-00329,2026-06-25,Amazon Services Europe,-1740.44,GBP,ADJ-330,Deduction per remittance advice
DED-2026-00337,2026-06-08,SHOPIFY INC,-2402.35,GBP,SETTLEMENT-338,Deduction per remittance advice
DED-2026-00359,2026-06-12,Target Plus Marketplace,-1222.91,GBP,DED-360,Deduction per remittance advice
DED-2026-00355,2026-06-09,Shopify Payments,-2348.46,GBP,REF-356,Account adjustment - refer to statement
DED-2026-00607,2026-06-26,Walmart Marketplace LLC,-1041.92,GBP,MKTG-REBATE-608,Marketing rebate accrual drawdown
DED-2026-00701,2026-06-14,SHOPIFY INC,-143.41,GBP,DAMAGED-RMA-702,Warehouse damage claim - multiple units
DED-2026-00681,2026-06-18,Target Corporation,-256.72,GBP,PPD-682,Price protection dispute adjustment
DED-2026-00821,2026-06-17,Unknown Remitter,-201.7,GBP,ADJ-822,Balance adjustment - no further detail
DED-2026-00443,2026-06-06,Costco Marketplace,-178.67,GBP,DED-444,Deduction per remittance advice
DED-2026-00487,2026-06-18,Amazon EU SARL,-406.55,GBP,DED-488,Account adjustment - refer to statement
DED-2026-00743,2026-06-20,SHOPIFY INC,-635.26,GBP,OTHER-DEDUCT-744,Miscellaneous marketplace deduction
DED-2026-00307,2026-06-02,Shopify Payments,-2094.33,GBP,SETTLEMENT-308,Reimbursement adjustment - see portal
DED-2026-00435,2026-06-03,Amazon Services Europe,-226.72,GBP,SETTLEMENT-436,Adjustment applied at settlement
DED-2026-00437,2026-06-09,AMZN Mktp UK,-44.21,GBP,NOTE-438,Account adjustment - refer to statement
DED-2026-00703,2026-06-11,Target Plus Marketplace,-192.75,GBP,WHSE-DMG-704,Warehouse damage claim - multiple units
DED-2026-00621,2026-06-20,Walmart Marketplace LLC,-1773.36,GBP,MKTG-REBATE-622,Marketing rebate accrual drawdown
DED-2026-00823,2026-06-07,Unknown Remitter,-72.3,GBP,SETTLEMENT-824,Miscellaneous deduction - refer to portal
DED-2026-00843,2026-06-28,Marketplace Services Ltd,-203.46,GBP,REF-844,Account adjustment - see remittance advice
DED-2026-00367,2026-06-05,Costco Wholesale Corp,-155.37,GBP,REF-368,Account adjustment - refer to statement
DED-2026-00407,2026-06-16,Target Corporation,-67.01,GBP,NOTE-408,Account adjustment - refer to statement
DED-2026-00441,2026-06-07,Shopify Direct Sales,-104.37,GBP,DED-442,Account adjustment - refer to statement
DED-2026-00405,2026-06-29,Shopify Payments,-60.2,GBP,REF-406,Adjustment applied at settlement
DED-2026-00819,2026-06-21,Unknown Remitter,-76.09,GBP,DED-820,Account adjustment - see remittance advice
DED-2026-00381,2026-06-03,Shopify Payments,-198.52,GBP,REF-382,Miscellaneous deduction - see note
DED-2026-00507,2026-06-07,Target Corporation,-373.21,GBP,REF-508,Miscellaneous deduction - see note
DED-2026-00587,2026-06-12,Costco Marketplace,-309.52,GBP,REF-588,Miscellaneous deduction - see note
DED-2026-00425,2026-06-23,WALMART.COM,-113.84,GBP,NOTE-426,Account adjustment - refer to statement
DED-2026-00417,2026-06-25,Shopify Payments,-105.27,GBP,ADJ-418,Account adjustment - refer to statement
DED-2026-00419,2026-06-18,COSTCO.COM,-119.45,GBP,NOTE-420,Adjustment applied at settlement
DED-2026-00573,2026-06-28,WALMART.COM,-171.81,GBP,DED-574,Deduction per remittance advice
DED-2026-00695,2026-06-09,Target Plus Marketplace,-49.99,GBP,DAMAGED-RMA-696,Inbound damage adjustment
DED-2026-00397,2026-06-29,Shopify Direct Sales,-98.3,GBP,ADJ-398,Deduction per remittance advice
DED-2026-00475,2026-06-06,Costco Marketplace,-271.43,GBP,ADJ-476,Deduction per remittance advice
DED-2026-00827,2026-06-27,Marketplace Services Ltd,-152.71,GBP,REF-828,Miscellaneous deduction - refer to portal
DED-2026-00685,2026-06-24,Costco Wholesale Corp,-272.78,GBP,PRICE-ADJ-686,Price protection dispute adjustment
DED-2026-00715,2026-06-10,AMAZON.COM LLC,-39.25,GBP,DMG-CLAIM-716,Inbound damage adjustment
DED-2026-00543,2026-06-16,Target Plus Marketplace,-486.44,GBP,SETTLEMENT-544,Account adjustment - refer to statement
DED-2026-00317,2026-06-08,SHOPIFY INC,-2685.46,GBP,SETTLEMENT-318,Deduction per remittance advice
DED-2026-00305,2026-06-23,Amazon EU SARL,-2499.79,GBP,SETTLEMENT-306,Adjustment applied at settlement
DED-2026-00687,2026-06-19,Target Plus Marketplace,-124.99,GBP,PRC-DISP-688,Retroactive price adjustment - multiple POs
DED-2026-00401,2026-06-08,SHOPIFY INC,-115.03,GBP,DED-402,Reimbursement adjustment - see portal
DED-2026-00501,2026-06-07,SHOPIFY INC,-327.35,GBP,NOTE-502,Miscellaneous deduction - see note
DED-2026-00749,2026-06-02,COSTCO.COM,-451.47,GBP,MISC-ADJ-750,Aggregated chargeback - see case file
DED-2026-00453,2026-06-21,Amazon Services Europe,-211.22,GBP,DED-454,Miscellaneous deduction - see note
DED-2026-00489,2026-06-25,Amazon Services Europe,-193.36,GBP,SETTLEMENT-490,Reimbursement adjustment - see portal
DED-2026-00735,2026-06-07,Amazon Services Europe,-526.8,GBP,MISC-ADJ-736,Other adjustment - multiple references
DED-2026-00547,2026-06-02,Target Plus Marketplace,-18.42,GBP,DED-548,Adjustment applied at settlement
DED-2026-00733,2026-06-25,Target Corporation,-229.19,GBP,CHB-734,Other adjustment - multiple references
DED-2026-00589,2026-06-08,WALMART.COM,-37.84,GBP,SETTLEMENT-590,Reimbursement adjustment - see portal
DED-2026-00551,2026-06-25,Walmart Marketplace LLC,-441.38,GBP,SETTLEMENT-552,Miscellaneous deduction - see note
DED-2026-00717,2026-06-01,TARGET.COM,-200.47,GBP,WHSE-DMG-718,Inbound damage adjustment
