accrual_id,accrual_date,accrual_period,vendor_name,bucket,amount,currency,reference_code,description,evidence_scope
ACR-2026-00105,2026-06-30,2026-06,Shopify Direct,Shortage Claim,60.21,GBP,SAP-TXN-0106,Shortage Claim - transaction accrual,transaction_match
ACR-2026-00179,2026-06-09,2026-06,Costco,Price Dispute,289.06,GBP,SAP-TXN-0180,Price Dispute - transaction accrual,transaction_match
ACR-2026-00025,2026-06-13,2026-06,Amazon,Promotional Accrual,761.13,GBP,SAP-TXN-0026,Promotional Accrual - transaction accrual,transaction_match
ACR-2026-00201,2026-06-08,2026-06,Shopify Direct,Damaged Goods,327.35,GBP,SAP-TXN-0202,Damaged Goods - transaction accrual,transaction_match
ACR-2026-00765,2026-06-15,2026-06,Shopify Direct,Damaged Goods,945.67,GBP,SAP-POOL-0766,Damaged Goods - programme evidence balance,programme_pool
ACR-2026-00005,2026-06-22,2026-06,Amazon,Promotional Accrual,2499.8,GBP,SAP-TXN-0006,Promotional Accrual - transaction accrual,transaction_match
ACR-2026-00009,2026-06-01,2026-06,Amazon,Promotional Accrual,752.98,GBP,SAP-TXN-0010,Promotional Accrual - transaction accrual,transaction_match
ACR-2026-00215,2026-06-01,2026-06,Amazon,Damaged Goods,266.43,GBP,SAP-TXN-0216,Damaged Goods - transaction accrual,transaction_match
ACR-2026-00069,2026-06-24,2026-06,Walmart,Shortage Claim,262.09,GBP,SAP-TXN-0070,Shortage Claim - transaction accrual,transaction_match
ACR-2026-00079,2026-06-26,2026-06,Walmart,Shortage Claim,304.97,GBP,SAP-TXN-0080,Shortage Claim - transaction accrual,transaction_match
ACR-2026-00099,2026-06-27,2026-06,Target,Shortage Claim,290.02,GBP,SAP-TXN-0100,Shortage Claim - transaction accrual,transaction_match
ACR-2026-00119,2026-06-18,2026-06,Costco,Shortage Claim,119.45,GBP,SAP-TXN-0120,Shortage Claim - transaction accrual,transaction_match
ACR-2026-00003,2026-06-08,2026-06,Walmart,Promotional Accrual,876.75,GBP,SAP-TXN-0004,Promotional Accrual - transaction accrual,transaction_match
ACR-2026-00001,2026-06-01,2026-06,Amazon,Promotional Accrual,2502.19,GBP,SAP-TXN-0002,Promotional Accrual - transaction accrual,transaction_match
ACR-2026-00125,2026-06-23,2026-06,Walmart,Price Dispute,113.84,GBP,SAP-TXN-0126,Price Dispute - transaction accrual,transaction_match
ACR-2026-00227,2026-06-20,2026-06,Target,Damaged Goods,531.85,GBP,SAP-TXN-0228,Damaged Goods - transaction accrual,transaction_match
ACR-2026-00753,2026-06-15,2026-06,Costco,Chargeback/Other,1631.58,GBP,SAP-POOL-0754,Chargeback/Other - programme evidence balance,programme_pool
ACR-2026-00255,2026-06-29,2026-06,Amazon,Chargeback/Other,681.83,GBP,SAP-TXN-0256,Chargeback/Other - transaction accrual,transaction_match
ACR-2026-00299,2026-06-29,2026-06,Amazon,Chargeback/Other,951.44,GBP,SAP-TXN-0300,Chargeback/Other - transaction accrual,transaction_match
ACR-2026-00191,2026-06-19,2026-06,Amazon,Damaged Goods,275.78,GBP,SAP-TXN-0192,Damaged Goods - transaction accrual,transaction_match
ACR-2026-00285,2026-06-08,2026-06,Costco,Chargeback/Other,207.59,GBP,SAP-TXN-0286,Chargeback/Other - transaction accrual,transaction_match
ACR-2026-00109,2026-06-29,2026-06,Target,Shortage Claim,414.72,GBP,SAP-TXN-0110,Shortage Claim - transaction accrual,transaction_match
ACR-2026-00101,2026-06-07,2026-06,Shopify Direct,Shortage Claim,115.02,GBP,SAP-TXN-0102,Shortage Claim - transaction accrual,transaction_match
ACR-2026-00095,2026-06-17,2026-06,Target,Shortage Claim,334.31,GBP,SAP-TXN-0096,Shortage Claim - transaction accrual,transaction_match
ACR-2026-00225,2026-06-27,2026-06,Costco,Damaged Goods,309.33,GBP,SAP-TXN-0226,Damaged Goods - transaction accrual,transaction_match
ACR-2026-00171,2026-06-30,2026-06,Amazon,Price Dispute,239.77,GBP,SAP-TXN-0172,Price Dispute - transaction accrual,transaction_match
ACR-2026-00143,2026-06-07,2026-06,Costco,Price Dispute,178.68,GBP,SAP-TXN-0144,Price Dispute - transaction accrual,transaction_match
ACR-2026-00759,2026-06-15,2026-06,Walmart,Chargeback/Other,751.42,GBP,SAP-POOL-0760,Chargeback/Other - programme evidence balance,programme_pool
ACR-2026-00289,2026-06-08,2026-06,Walmart,Chargeback/Other,37.84,GBP,SAP-TXN-0290,Chargeback/Other - transaction accrual,transaction_match
ACR-2026-00055,2026-06-08,2026-06,Shopify Direct,Promotional Accrual,2348.46,GBP,SAP-TXN-0056,Promotional Accrual - transaction accrual,transaction_match
ACR-2026-00783,2026-06-15,2026-06,Shopify Direct,Promotional Accrual,3263.46,GBP,SAP-POOL-0784,Promotional Accrual - programme evidence balance,programme_pool
ACR-2026-00797,2026-06-15,2026-06,Walmart,Shortage Claim,1019.83,GBP,SAP-POOL-0798,Shortage Claim - programme evidence balance,programme_pool
ACR-2026-00049,2026-06-20,2026-06,Amazon,Promotional Accrual,2214.44,GBP,SAP-TXN-0050,Promotional Accrual - transaction accrual,transaction_match
ACR-2026-00273,2026-06-28,2026-06,Walmart,Chargeback/Other,171.81,GBP,SAP-TXN-0274,Chargeback/Other - transaction accrual,transaction_match
ACR-2026-00237,2026-06-05,2026-06,Shopify Direct,Damaged Goods,172.54,GBP,SAP-TXN-0238,Damaged Goods - transaction accrual,transaction_match
ACR-2026-00233,2026-06-29,2026-06,Amazon,Damaged Goods,102.82,GBP,SAP-TXN-0234,Damaged Goods - transaction accrual,transaction_match
ACR-2026-00773,2026-06-15,2026-06,Costco,Price Dispute,725.4,GBP,SAP-POOL-0774,Price Dispute - programme evidence balance,programme_pool
ACR-2026-00085,2026-06-28,2026-06,Shopify Direct,Shortage Claim,399.28,GBP,SAP-TXN-0086,Shortage Claim - transaction accrual,transaction_match
ACR-2026-00235,2026-06-29,2026-06,Amazon,Damaged Goods,89.05,GBP,SAP-TXN-0236,Damaged Goods - transaction accrual,transaction_match
